Algorithm,Language,Size,Package,Core(s),GPU,Memory(KB),Time(sec)
oddevensort,Rust,50000,67.6512694,36.315564,0.029736399999999996,3622.4,2.747416
oddevensort,Rust,100000,293.5732544,157.9717652,0.099817,3712.0,11.89092
oddevensort,Swift,25000,28.8523682,15.50094,0.016565,10686.4,1.170004
oddevensort,Swift,50000,0.13657219999999998,0.06397699999999999,0.0043822,10188.8,0.00571
oddevensort,Swift,100000,466.7141114,251.5755492,0.1514284,11773.6,18.86852
quicksort,C,25000,0.1338502,0.0615846,0.0043214,3660.8,0.0050364
quicksort,C,50000,0.1809326,0.08873299999999999,0.0054080000000000005,3532.8,0.0079446
quicksort,C,100000,0.2458862,0.10432140000000001,0.0037722,3494.4,0.011488799999999999
quicksort,C#,25000,0.7181888,0.3386842,0.009375,20832.8,0.031179000000000002
quicksort,C#,50000,0.7320924,0.35074459999999996,0.0094846,22099.2,0.0319352
quicksort,C#,100000,0.8779662,0.4022582,0.005688400000000001,21603.2,0.040714
quicksort,C++,25000,0.14676519999999998,0.0642578,0.0042848,3846.4,0.0062062
quicksort,C++,50000,0.1793334,0.088977,0.0047118,4153.6,0.0077616000000000004
quicksort,C++,100000,0.2799928,0.1182984,0.0042968,4438.4,0.013434399999999999
quicksort,Go,25000,0.1886352,0.0971192,0.0046752,3648.0,0.0072566
quicksort,Go,50000,0.24500760000000002,0.11297600000000001,0.005517800000000001,3584.0,0.010840800000000001
quicksort,Go,100000,0.3617066,0.16535660000000002,0.0061766,5871.2,0.016586200000000002
quicksort,Haskell,25000,0.12373039999999999,0.058105399999999995,0.0035520000000000005,5644.8,0.005112
quicksort,Haskell,50000,0.1399292,0.0629762,0.004358,7833.6,0.006812799999999999
quicksort,Haskell,100000,0.2370484,0.10400400000000001,0.0057859999999999995,13414.4,0.011569600000000001
quicksort,Python,25000,2.3942872,1.2557981999999999,0.0105588,32600.0,0.097637
quicksort,Python,50000,0.7344115999999999,0.3144898,0.011731,9432.0,0.035402
quicksort,Python,100000,8.389868400000001,4.470788600000001,0.0131592,93708.0,0.3389544
quicksort,Rust,25000,0.12694100000000003,0.060998399999999994,0.0041138,3660.8,0.0057278
quicksort,Rust,50000,0.23122579999999998,0.11230480000000001,0.0037232000000000003,3648.0,0.0101766
quicksort,Rust,100000,0.258911,0.1105836,0.0043944,3660.8,0.0132216
quicksort,Swift,25000,0.6140014,0.3197388,0.006640599999999999,11817.6,0.0251858
quicksort,Swift,50000,0.9765136,0.4888184,0.006469600000000001,12547.2,0.042005
quicksort,Swift,100000,1.7677247999999999,0.9451662000000001,0.0060668,17220.0,0.0718122
selectionsort,C,25000,4.6434204,2.4496096,0.0094238,3635.2,0.1905456
selectionsort,C,50000,18.223694000000002,9.801904400000002,0.0145996,3712.0,0.7374568
selectionsort,C,100000,72.6899902,39.1223386,0.026367,3609.6,2.944402
selectionsort,C#,25000,11.116027800000001,5.9494142,0.014416400000000001,21008.0,0.45073740000000007
selectionsort,C#,50000,42.7070066,22.982605,0.021924,21318.4,1.72773
selectionsort,C#,100000,168.9863404,90.9704834,0.0603394,24276.0,6.842766
selectionsort,C++,25000,4.6729126,2.4679566,0.009375,3820.8,0.1917376
selectionsort,C++,50000,18.2413698,9.8195068,0.0123898,4051.2,0.7371154000000001
selectionsort,C++,100000,72.8670168,39.1522826,0.029882799999999998,4326.4,2.9560679999999997
selectionsort,Go,25000,9.107263399999999,4.8595336,0.0134154,3609.6,0.37031939999999997
selectionsort,Go,50000,36.181079,19.4396608,0.015978799999999998,5492.0,1.4674619999999998
selectionsort,Go,100000,144.3539672,77.46690679999999,0.058435,5868.0,5.865974
selectionsort,Haskell,25000,0.09260260000000001,0.045923000000000005,0.0026731999999999997,3596.8,0.0038177999999999997
selectionsort,Haskell,50000,0.1043456,0.0393432,0.004784999999999999,3609.6,0.0053422
selectionsort,Haskell,100000,0.10300279999999999,0.0450196,0.0028198,3622.4,0.0043954
selectionsort,Python,25000,273.15733639999996,147.3250978,0.09017359999999999,32600.8,11.02724
selectionsort,Python,50000,1121.4382934,604.2832398,0.3619262,51616.8,45.28918
selectionsort,Python,100000,4767.6492798,2561.9424316,1.457434,93700.0,192.5354
selectionsort,Rust,25000,7.6181274000000005,4.0671266,0.0080932,3584.0,0.3102748
selectionsort,Rust,50000,26.847350999999996,14.403930800000001,0.014355600000000001,3686.4,1.091046
selectionsort,Rust,100000,111.10056159999999,59.8812136,0.0427244,3660.8,4.48917
selectionsort,Swift,25000,7.0662842,3.7875246000000002,0.011084199999999999,10672.0,0.285655
selectionsort,Swift,50000,27.7765014,14.948938000000002,0.016504,11027.2,1.12321
selectionsort,Swift,100000,110.83164079999999,59.667834600000006,0.0425172,11760.0,4.486618
