Algorithm,Language,Size,Package,Core(s),GPU,Time(sec)
cyclesort,Go,50000,3.6768595000000004,1.645701,0.011962666666666665,0.17341166666666666
cyclesort,Go,100000,3.5102539999999998,1.543742,0.012166333333333333,0.168687
cyclesort,Haskell,25000,586.8722531666667,307.5705058333333,0.237793,23.8091
cyclesort,Haskell,50000,1184.2554933333333,624.2889305,0.40690116666666665,47.90025
cyclesort,Haskell,100000,2449.719807666667,1290.505371,0.8547973333333333,99.12746666666668
cyclesort,Rust,25000,228.62116483333332,121.25965383333335,0.09855116666666668,9.253653333333334
cyclesort,Rust,50000,477.85977183333335,253.97167966666666,0.1916298333333333,19.350616666666667
cyclesort,Rust,100000,962.1737365,511.6852725,0.367096,38.926500000000004
cyclesort,Swift,25000,345.74202483333335,184.15761316666666,0.11864216666666667,14.072016666666668
cyclesort,Swift,50000,1192.8549805,638.6647644999999,0.3882038333333333,48.40188333333333
cyclesort,Swift,100000,320.606018,164.318451,0.1311645,13.435649999999999
heapsort,C,25000,2.4844969999999997,1.2304380000000001,0.0339965,0.10537733333333332
heapsort,C,50000,3.6768595000000004,1.887624,0.01694733333333333,0.15366883333333334
heapsort,C,100000,5.291809333333333,2.743733666666667,0.019571666666666668,0.21964333333333333
heapsort,C#,25000,13.026224833333332,6.808339666666666,0.03532933333333333,0.5386283333333334
heapsort,C#,50000,13.945475333333334,7.445261666666667,0.009755166666666667,0.5672526666666667
heapsort,C#,100000,15.276692666666667,8.175944,0.014485666666666668,0.618938
heapsort,C++,25000,11.839182666666666,6.262491833333333,0.026448666666666665,0.4821051666666667
heapsort,C++,50000,13.064686833333333,6.942718666666667,0.020446833333333334,0.5322961666666667
heapsort,C++,100000,15.431844,8.145487666666666,0.020589333333333334,0.6334386666666667
heapsort,Go,25000,3.4829508333333337,1.7236938333333331,0.016683,0.14867083333333334
heapsort,Go,50000,3.3419493333333334,1.4621276666666665,0.013895666666666667,0.16107116666666668
heapsort,Go,100000,3.469421333333333,1.7050373333333333,0.009399333333333334,0.15098733333333333
heapsort,Haskell,25000,308.32023100000004,161.78044616666668,0.13484716666666666,12.504366666666668
heapsort,Haskell,50000,615.196065,324.274414,0.243978,24.891983333333332
heapsort,Haskell,100000,1226.7668253333334,646.0824786666667,0.4346716666666666,49.674033333333334
heapsort,Rust,25000,227.89149983333334,120.95646133333334,0.08034266666666666,9.222885
heapsort,Rust,50000,466.5843505,248.0398048333333,0.18589250000000002,18.896116666666668
heapsort,Rust,100000,944.329315,502.23004149999997,0.361877,38.19445
heapsort,Swift,25000,363.3912456666667,193.58977249999998,0.1236165,14.787433333333333
heapsort,Swift,50000,1277.0561216666667,683.1022031666666,0.43209866666666663,51.837700000000005
heapsort,Swift,100000,355.4873655,182.27676400000001,0.1449585,14.893049999999999
insertionsort,C,25000,2.2847085000000003,1.1537576666666667,0.024393833333333333,0.09595350000000001
insertionsort,C,50000,3.045491833333333,1.5630899999999999,0.014007499999999999,0.127934
insertionsort,C,100000,5.138407333333333,2.6976926666666667,0.015564,0.21145433333333333
insertionsort,C#,25000,12.957448333333332,6.887878166666667,0.03948983333333333,0.5250221666666667
insertionsort,C#,50000,13.6788125,7.287882333333333,0.0165915,0.5559371666666667
insertionsort,C#,100000,15.160461333333332,8.119161,0.0076296666666666665,0.6148873333333333
insertionsort,C++,25000,11.623626833333333,6.148163,0.02600116666666667,0.47325633333333333
insertionsort,C++,50000,12.643056166666668,6.7283225,0.019103833333333334,0.5136426666666667
insertionsort,C++,100000,15.299214666666666,8.145629999999999,0.020629666666666668,0.6219256666666667
insertionsort,Go,25000,3.6121928333333333,1.6923316666666668,0.0160725,0.16240983333333334
insertionsort,Go,50000,4.0519715,1.8756510000000002,0.010640499999999999,0.18634799999999999
insertionsort,Go,100000,3.876058,1.7788899999999999,0.010885,0.17926166666666665
