Language , Program , Input Size , Package , Core(s) , GPU , DRAM? , Memory (KB) , Time (sec)
Rust, insertionsort_50000.sh, 50000, 434.582153 , 182.196106 , 0.196472 , 0.000000 , 2165228, 21.8381 
Rust, mergesort_50000.sh, 50000, 450.156067 , 188.873718 , 0.195190 , 0.000000 , 2201484, 22.6091 
Rust, oddevensort_50000.sh, 50000, 443.107178 , 185.736816 , 0.184875 , 0.000000 , 2167288, 22.2608 
Rust, quicksort_50000.sh, 50000, 449.526917 , 188.582886 , 0.202637 , 0.000000 , 2185320, 22.5912 
Rust, selectionsort_50000.sh, 50000, 446.955505 , 187.566223 , 0.194885 , 0.000000 , 2172164, 22.4495 
Swift, bubblesort_50000.sh, 50000, 1172.488037 , 498.208801 , 0.419434 , 0.000000 , 236656, 58.918 
Swift, cyclesort_50000.sh, 50000, 1128.100586 , 480.353577 , 0.372375 , 0.000000 , 236672, 56.6747 
Swift, heapsort_50000.sh, 50000, 1203.306641 , 511.069092 , 0.412048 , 0.000000 , 239964, 60.4652 
Swift, insertionsort_50000.sh, 50000, 1145.543396 , 486.773071 , 0.408203 , 0.000000 , 236960, 57.5492 
Swift, mergesort_50000.sh, 50000, 1222.402527 , 518.409180 , 0.434814 , 0.000000 , 237936, 61.4424 
Swift, oddevensort_50000.sh, 50000, 6.023560 , 2.474182 , 0.012146 , 0.000000 , 98548, 0.309746 
Swift, quicksort_50000.sh, 50000, 1190.245361 , 506.076416 , 0.428162 , 0.000000 , 237872, 59.8245 
Swift, selectionsort_50000.sh, 50000, 1170.886475 , 497.631714 , 0.421570 , 0.000000 , 237012, 58.8156 
C, bubblesort_50000.sh, 50000, 2.801514 , 1.107361 , 0.014587 , 0.000000 , 43008, 0.147168 
C, cyclesort_50000.sh, 50000, 3.598694 , 1.505432 , 0.015381 , 0.000000 , 43324, 0.180895 
C, heapsort_50000.sh, 50000, 3.569275 , 1.474670 , 0.016296 , 0.000000 , 42916, 0.181313 
C, insertionsort_50000.sh, 50000, 2.685120 , 1.112061 , 0.015503 , 0.000000 , 41988, 0.136246 
C, mergesort_50000.sh, 50000, 3.758789 , 1.571716 , 0.014343 , 0.000000 , 44552, 0.188309 
C, oddevensort_50000.sh, 50000, 3.558777 , 1.435608 , 0.015137 , 0.000000 , 43528, 0.184241 
C, quicksort_50000.sh, 50000, 3.685120 , 1.509338 , 0.014465 , 0.000000 , 43168, 0.187252 
C, selectionsort_50000.sh, 50000, 2.781860 , 1.102478 , 0.019653 , 0.000000 , 42628, 0.145418 
C++, bubblesort_50000.sh, 50000, 12.275757 , 5.204895 , 0.019653 , 0.000000 , 98676, 0.616686 
C++, cyclesort_50000.sh, 50000, 12.175171 , 5.136597 , 0.020081 , 0.000000 , 98280, 0.612914 
C++, heapsort_50000.sh, 50000, 11.922668 , 5.035889 , 0.020935 , 0.000000 , 98940, 0.600392 
C++, insertionsort_50000.sh, 50000, 12.154297 , 5.114441 , 0.026917 , 0.000000 , 98180, 0.611605 
C++, mergesort_50000.sh, 50000, 12.736389 , 5.364136 , 0.017700 , 0.000000 , 100572, 0.641741 
C++, oddevensort_50000.sh, 50000, 12.553711 , 5.308105 , 0.016968 , 0.000000 , 98572, 0.630417 
C++, quicksort_50000.sh, 50000, 11.614075 , 4.880615 , 0.021729 , 0.000000 , 98740, 0.585905 
C++, selectionsort_50000.sh, 50000, 11.743591 , 4.918030 , 0.023560 , 0.000000 , 99136, 0.593187 
C#, bubblesort_50000.sh, 50000, 12.933411 , 5.477905 , 0.010620 , 0.000000 , 69836, 0.652556 
C#, cyclesort_50000.sh, 50000, 13.285400 , 5.645386 , 0.014221 , 0.000000 , 67624, 0.667112 
C#, heapsort_50000.sh, 50000, 12.904907 , 5.405396 , 0.018005 , 0.000000 , 69464, 0.653438 
C#, insertionsort_50000.sh, 50000, 13.312866 , 5.635803 , 0.009827 , 0.000000 , 67524, 0.669251 
C#, mergesort_50000.sh, 50000, 13.210388 , 5.563293 , 0.014832 , 0.000000 , 73860, 0.666856 
C#, oddevensort_50000.sh, 50000, 12.871765 , 5.446899 , 0.018616 , 0.000000 , 67648, 0.645715 
C#, quicksort_50000.sh, 50000, 13.439148 , 5.700317 , 0.010559 , 0.000000 , 67504, 0.675972 
C#, selectionsort_50000.sh, 50000, 13.188293 , 5.566223 , 0.014587 , 0.000000 , 67508, 0.664624 
Go, bubblesort_50000.sh, 50000, 3.214783 , 1.175354 , 0.010864 , 0.000000 , 57036, 0.174216 
Go, cyclesort_50000.sh, 50000, 3.435425 , 1.385559 , 0.008728 , 0.000000 , 57488, 0.175438 
Go, heapsort_50000.sh, 50000, 3.776245 , 1.477539 , 0.014343 , 0.000000 , 58500, 0.196915 
Go, insertionsort_50000.sh, 50000, 3.356079 , 1.289429 , 0.008423 , 0.000000 , 55076, 0.177756 
Go, mergesort_50000.sh, 50000, 3.255371 , 1.246887 , 0.008240 , 0.000000 , 56264, 0.172643 
Go, oddevensort_50000.sh, 50000, 3.466614 , 1.424561 , 0.008301 , 0.000000 , 56580, 0.175994 
Go, quicksort_50000.sh, 50000, 3.508301 , 1.438721 , 0.007751 , 0.000000 , 55276, 0.177121 
Go, selectionsort_50000.sh, 50000, 3.165710 , 1.193848 , 0.014221 , 0.000000 , 57356, 0.168816 
Haskell, bubblesort_50000.sh, 50000, 560.974304 , 232.767334 , 0.210876 , 0.000000 , 1022048, 28.1867 
Haskell, cyclesort_50000.sh, 50000, 1087.172546 , 449.962952 , 0.395874 , 0.000000 , 1097104, 54.6434 
Haskell, heapsort_50000.sh, 50000, 565.934692 , 234.361145 , 0.245850 , 0.000000 , 1005316, 28.4527 
Haskell, insertionsort_50000.sh, 50000, 563.676025 , 233.469604 , 0.226196 , 0.000000 , 1139884, 28.3331 
Haskell, mergesort_50000.sh, 50000, 565.937378 , 234.216797 , 0.229370 , 0.000000 , 1139184, 28.4417 
Haskell, oddevensort_50000.sh, 50000, 537.289246 , 222.497559 , 0.206604 , 0.000000 , 1146568, 27.0066 
Haskell, quicksort_50000.sh, 50000, 571.818542 , 237.018677 , 0.217285 , 0.000000 , 1054908, 28.7519 
Haskell, selectionsort_50000.sh, 50000, 593.841003 , 245.839417 , 0.245117 , 0.000000 , 1126624, 29.844 
Rust, bubblesort_50000.sh, 50000, 438.638733 , 184.192383 , 0.175903 , 0.000000 , 2172008, 22.0296 
Rust, cyclesort_50000.sh, 50000, 440.925537 , 185.140381 , 0.191650 , 0.000000 , 2174364, 22.1492 
Rust, heapsort_50000.sh, 50000, 453.796814 , 190.544495 , 0.187866 , 0.000000 , 2177984, 22.7999 
Rust, insertionsort_50000.sh, 50000, 443.524841 , 186.283447 , 0.194519 , 0.000000 , 2171412, 22.279 
Rust, mergesort_50000.sh, 50000, 431.002869 , 180.881287 , 0.179749 , 0.000000 , 2197240, 21.6496 
Rust, oddevensort_50000.sh, 50000, 456.802734 , 191.721069 , 0.192139 , 0.000000 , 2172556, 22.9503 
Rust, quicksort_50000.sh, 50000, 436.424072 , 183.181580 , 0.182678 , 0.000000 , 2179504, 21.9217 
Rust, selectionsort_50000.sh, 50000, 446.490723 , 187.158630 , 0.192749 , 0.000000 , 2173020, 22.433 
Swift, bubblesort_50000.sh, 50000, 1175.481079 , 499.797302 , 0.385559 , 0.000000 , 236724, 59.0706 
Swift, cyclesort_50000.sh, 50000, 1161.589111 , 493.203735 , 0.425720 , 0.000000 , 236660, 58.3678 
Swift, heapsort_50000.sh, 50000, 1187.052551 , 504.670532 , 0.427551 , 0.000000 , 240144, 59.6392 
Swift, insertionsort_50000.sh, 50000, 1186.126526 , 503.855286 , 0.429626 , 0.000000 , 237012, 59.6056 
Swift, mergesort_50000.sh, 50000, 1239.446655 , 526.640747 , 0.420593 , 0.000000 , 238004, 62.2835 
Swift, oddevensort_50000.sh, 50000, 6.374146 , 2.582825 , 0.008850 , 0.000000 , 100704, 0.329814 
Swift, quicksort_50000.sh, 50000, 1213.368652 , 515.423523 , 0.411072 , 0.000000 , 237748, 60.9622 
Swift, selectionsort_50000.sh, 50000, 1146.795410 , 487.333069 , 0.366882 , 0.000000 , 237044, 57.6149 
C, bubblesort_50000.sh, 50000, 2.738098 , 1.112122 , 0.018921 , 0.000000 , 42880, 0.140006 
C, cyclesort_50000.sh, 50000, 3.696289 , 1.554504 , 0.015808 , 0.000000 , 43504, 0.184934 
C, heapsort_50000.sh, 50000, 3.517883 , 1.443970 , 0.011475 , 0.000000 , 42628, 0.17992 
C, insertionsort_50000.sh, 50000, 2.716370 , 1.127136 , 0.015808 , 0.000000 , 42112, 0.136982 
C, mergesort_50000.sh, 50000, 3.788025 , 1.589111 , 0.018188 , 0.000000 , 44264, 0.189872 
C, oddevensort_50000.sh, 50000, 3.525085 , 1.377075 , 0.011719 , 0.000000 , 43524, 0.185597 
C, quicksort_50000.sh, 50000, 3.509277 , 1.401978 , 0.017944 , 0.000000 , 43268, 0.181836 
C, selectionsort_50000.sh, 50000, 2.835876 , 1.166504 , 0.015869 , 0.000000 , 42748, 0.143736 
C++, bubblesort_50000.sh, 50000, 11.658081 , 4.909912 , 0.016602 , 0.000000 , 99320, 0.586345 
C++, cyclesort_50000.sh, 50000, 12.416138 , 5.215637 , 0.031372 , 0.000000 , 99364, 0.624783 
C++, heapsort_50000.sh, 50000, 12.292542 , 5.152588 , 0.029785 , 0.000000 , 98220, 0.62018 
C++, insertionsort_50000.sh, 50000, 12.063232 , 5.072266 , 0.017273 , 0.000000 , 97852, 0.607172 
C++, mergesort_50000.sh, 50000, 13.190186 , 5.543579 , 0.027100 , 0.000000 , 100572, 0.663713 
C++, oddevensort_50000.sh, 50000, 12.060730 , 5.081787 , 0.020081 , 0.000000 , 99212, 0.605012 
C++, quicksort_50000.sh, 50000, 12.028442 , 5.088074 , 0.016052 , 0.000000 , 97648, 0.605685 
C++, selectionsort_50000.sh, 50000, 12.366272 , 5.181335 , 0.030457 , 0.000000 , 98908, 0.621188 
C#, bubblesort_50000.sh, 50000, 12.780029 , 5.402771 , 0.012451 , 0.000000 , 69728, 0.644134 
C#, cyclesort_50000.sh, 50000, 13.375610 , 5.676025 , 0.010315 , 0.000000 , 63312, 0.671557 
C#, heapsort_50000.sh, 50000, 13.447266 , 5.664551 , 0.025574 , 0.000000 , 69608, 0.677521 
C#, insertionsort_50000.sh, 50000, 12.807739 , 5.393616 , 0.015015 , 0.000000 , 69864, 0.645618 
C#, mergesort_50000.sh, 50000, 13.312134 , 5.614563 , 0.010864 , 0.000000 , 67520, 0.671855 
C#, oddevensort_50000.sh, 50000, 13.359985 , 5.653625 , 0.024658 , 0.000000 , 67816, 0.671686 
C#, quicksort_50000.sh, 50000, 12.900085 , 5.437256 , 0.014282 , 0.000000 , 67740, 0.651469 
C#, selectionsort_50000.sh, 50000, 13.199402 , 5.597046 , 0.010376 , 0.000000 , 65736, 0.664021 
Go, bubblesort_50000.sh, 50000, 3.749939 , 1.451111 , 0.013794 , 0.000000 , 55448, 0.196886 
Go, cyclesort_50000.sh, 50000, 3.295776 , 1.243652 , 0.010254 , 0.000000 , 56180, 0.175175 
Go, heapsort_50000.sh, 50000, 3.164612 , 1.237366 , 0.008911 , 0.000000 , 55336, 0.165946 
Go, insertionsort_50000.sh, 50000, 3.583313 , 1.476257 , 0.008545 , 0.000000 , 55240, 0.180528 
Go, mergesort_50000.sh, 50000, 3.738159 , 1.348328 , 0.009460 , 0.000000 , 54736, 0.206163 
Go, oddevensort_50000.sh, 50000, 3.420288 , 1.190491 , 0.012146 , 0.000000 , 56992, 0.192398 
Go, quicksort_50000.sh, 50000, 3.131531 , 1.217712 , 0.008423 , 0.000000 , 57360, 0.165441 
Go, selectionsort_50000.sh, 50000, 3.645752 , 1.487366 , 0.009705 , 0.000000 , 56720, 0.186061 
Haskell, bubblesort_50000.sh, 50000, 559.317566 , 231.616577 , 0.227417 , 0.000000 , 1061148, 28.1166 
Haskell, cyclesort_50000.sh, 50000, 1102.846130 , 456.670227 , 0.432861 , 0.000000 , 1120064, 55.4381 
Haskell, heapsort_50000.sh, 50000, 573.857483 , 237.948792 , 0.238342 , 0.000000 , 1005616, 28.8395 
Haskell, insertionsort_50000.sh, 50000, 566.854675 , 234.669983 , 0.236145 , 0.000000 , 1138788, 28.4937 
Haskell, mergesort_50000.sh, 50000, 575.906006 , 238.756653 , 0.232788 , 0.000000 , 1057932, 28.9318 
Haskell, oddevensort_50000.sh, 50000, 532.495300 , 220.545715 , 0.227600 , 0.000000 , 1073500, 26.7586 
Haskell, quicksort_50000.sh, 50000, 561.807251 , 232.637390 , 0.244629 , 0.000000 , 1072248, 28.2488 
Haskell, selectionsort_50000.sh, 50000, 600.845215 , 248.821838 , 0.256165 , 0.000000 , 1021556, 30.2029 
Rust, bubblesort_50000.sh, 50000, 446.396606 , 187.139160 , 0.195435 , 0.000000 , 2168880, 22.4321 
Rust, cyclesort_50000.sh, 50000, 442.961243 , 185.813416 , 0.190796 , 0.000000 , 2177332, 22.252 
Rust, heapsort_50000.sh, 50000, 439.962585 , 184.655640 , 0.193665 , 0.000000 , 2165700, 22.1036 
Rust, insertionsort_50000.sh, 50000, 440.981262 , 184.971741 , 0.197693 , 0.000000 , 2181808, 22.1591 
Rust, mergesort_50000.sh, 50000, 448.929810 , 188.464355 , 0.189453 , 0.000000 , 2206272, 22.5484 
Rust, oddevensort_50000.sh, 50000, 466.133179 , 195.619812 , 0.204895 , 0.000000 , 2174064, 23.4193 
Rust, quicksort_50000.sh, 50000, 426.290100 , 178.867310 , 0.184204 , 0.000000 , 2191680, 21.4133 
Rust, selectionsort_50000.sh, 50000, 441.578796 , 185.210022 , 0.182556 , 0.000000 , 2178900, 22.1813 
Swift, bubblesort_50000.sh, 50000, 1137.778015 , 483.469971 , 0.386414 , 0.000000 , 236884, 57.1809 
Swift, cyclesort_50000.sh, 50000, 1173.236572 , 498.875183 , 0.398193 , 0.000000 , 236452, 58.962 
Swift, heapsort_50000.sh, 50000, 1234.755798 , 525.166199 , 0.394470 , 0.000000 , 239884, 62.0524 
Swift, insertionsort_50000.sh, 50000, 1147.829834 , 487.845093 , 0.412537 , 0.000000 , 237004, 57.659 
Swift, mergesort_50000.sh, 50000, 1171.729370 , 498.380432 , 0.423157 , 0.000000 , 237928, 58.8588 
Swift, oddevensort_50000.sh, 50000, 5.883423 , 2.385376 , 0.011536 , 0.000000 , 98596, 0.30387 
Swift, quicksort_50000.sh, 50000, 1226.351379 , 521.329407 , 0.437195 , 0.000000 , 237796, 61.6185 
Swift, selectionsort_50000.sh, 50000, 1136.985229 , 483.231812 , 0.375549 , 0.000000 , 236988, 57.1114 
C, bubblesort_50000.sh, 50000, 2.738098 , 1.112122 , 0.018921 , 0.000000 , 42880, 0.140006 
C, bubblesort_100000.sh, 100000, 4.596008 , 1.937378 , 0.020813 , 0.000000 , 51836, 0.23037 
C, cyclesort_50000.sh, 50000, 3.696289 , 1.554504 , 0.015808 , 0.000000 , 43504, 0.184934 
C, cyclesort_100000.sh, 100000, 4.962341 , 2.079102 , 0.018005 , 0.000000 , 52304, 0.250365 
C, heapsort_50000.sh, 50000, 3.517883 , 1.443970 , 0.011475 , 0.000000 , 42628, 0.17992 
C, heapsort_100000.sh, 100000, 4.868713 , 2.040161 , 0.017944 , 0.000000 , 51944, 0.245123 
C, insertionsort_50000.sh, 50000, 2.716370 , 1.127136 , 0.015808 , 0.000000 , 42112, 0.136982 
C, insertionsort_100000.sh, 100000, 4.536682 , 1.916260 , 0.017761 , 0.000000 , 51300, 0.226885 
C, mergesort_50000.sh, 50000, 3.788025 , 1.589111 , 0.018188 , 0.000000 , 44264, 0.189872 
C, mergesort_100000.sh, 100000, 5.427612 , 2.271606 , 0.019897 , 0.000000 , 53200, 0.273192 
C, oddevensort_50000.sh, 50000, 3.525085 , 1.377075 , 0.011719 , 0.000000 , 43524, 0.185597 
C, oddevensort_100000.sh, 100000, 4.937134 , 2.055176 , 0.015320 , 0.000000 , 52552, 0.249669 
C, quicksort_50000.sh, 50000, 3.509277 , 1.401978 , 0.017944 , 0.000000 , 43268, 0.181836 
C, quicksort_100000.sh, 100000, 5.365479 , 2.220093 , 0.017883 , 0.000000 , 52192, 0.271643 
C, selectionsort_50000.sh, 50000, 2.835876 , 1.166504 , 0.015869 , 0.000000 , 42748, 0.143736 
C, selectionsort_100000.sh, 100000, 5.074768 , 1.964539 , 0.014282 , 0.000000 , 51780, 0.269249 
C++, bubblesort_50000.sh, 50000, 11.658081 , 4.909912 , 0.016602 , 0.000000 , 99320, 0.586345 
C++, bubblesort_100000.sh, 100000, 14.655640 , 6.131226 , 0.028381 , 0.000000 , 113192, 0.740128 
C++, cyclesort_50000.sh, 50000, 12.416138 , 5.215637 , 0.031372 , 0.000000 , 99364, 0.624783 
C++, cyclesort_100000.sh, 100000, 14.884766 , 6.261047 , 0.024170 , 0.000000 , 113452, 0.750061 
C++, heapsort_50000.sh, 50000, 12.292542 , 5.152588 , 0.029785 , 0.000000 , 98220, 0.62018 
C++, heapsort_100000.sh, 100000, 14.866211 , 6.248413 , 0.031555 , 0.000000 , 113096, 0.748286 
C++, insertionsort_50000.sh, 50000, 12.063232 , 5.072266 , 0.017273 , 0.000000 , 97852, 0.607172 
C++, insertionsort_100000.sh, 100000, 14.508179 , 6.045349 , 0.023254 , 0.000000 , 113660, 0.734009 
C++, mergesort_50000.sh, 50000, 13.190186 , 5.543579 , 0.027100 , 0.000000 , 100572, 0.663713 
C++, mergesort_100000.sh, 100000, 15.908203 , 6.645325 , 0.018311 , 0.000000 , 118060, 0.805684 
C++, oddevensort_50000.sh, 50000, 12.060730 , 5.081787 , 0.020081 , 0.000000 , 99212, 0.605012 
C++, oddevensort_100000.sh, 100000, 14.798157 , 6.236755 , 0.026733 , 0.000000 , 116380, 0.744045 
C++, quicksort_50000.sh, 50000, 12.028442 , 5.088074 , 0.016052 , 0.000000 , 97648, 0.605685 
C++, quicksort_100000.sh, 100000, 14.787964 , 6.215149 , 0.027283 , 0.000000 , 116052, 0.743407 
C++, selectionsort_50000.sh, 50000, 12.366272 , 5.181335 , 0.030457 , 0.000000 , 98908, 0.621188 
C++, selectionsort_100000.sh, 100000, 14.698730 , 6.171631 , 0.017273 , 0.000000 , 115052, 0.741459 
C#, bubblesort_50000.sh, 50000, 12.780029 , 5.402771 , 0.012451 , 0.000000 , 69728, 0.644134 
C#, bubblesort_100000.sh, 100000, 14.460205 , 6.099182 , 0.014954 , 0.000000 , 67504, 0.727222 
C#, cyclesort_50000.sh, 50000, 13.375610 , 5.676025 , 0.010315 , 0.000000 , 63312, 0.671557 
C#, cyclesort_100000.sh, 100000, 14.617737 , 6.183167 , 0.021851 , 0.000000 , 71532, 0.735379 
C#, heapsort_50000.sh, 50000, 13.447266 , 5.664551 , 0.025574 , 0.000000 , 69608, 0.677521 
C#, heapsort_100000.sh, 100000, 14.558899 , 6.161438 , 0.020874 , 0.000000 , 73328, 0.730754 
C#, insertionsort_50000.sh, 50000, 12.807739 , 5.393616 , 0.015015 , 0.000000 , 69864, 0.645618 
C#, insertionsort_100000.sh, 100000, 14.284851 , 6.009277 , 0.017334 , 0.000000 , 73500, 0.721734 
C#, mergesort_50000.sh, 50000, 13.312134 , 5.614563 , 0.010864 , 0.000000 , 67520, 0.671855 
C#, mergesort_100000.sh, 100000, 14.348022 , 6.033325 , 0.011902 , 0.000000 , 75676, 0.72438 
C#, oddevensort_50000.sh, 50000, 13.359985 , 5.653625 , 0.024658 , 0.000000 , 67816, 0.671686 
C#, oddevensort_100000.sh, 100000, 14.579956 , 6.176758 , 0.012329 , 0.000000 , 73660, 0.732458 
C#, quicksort_50000.sh, 50000, 12.900085 , 5.437256 , 0.014282 , 0.000000 , 67740, 0.651469 
C#, quicksort_100000.sh, 100000, 14.537109 , 6.131775 , 0.023132 , 0.000000 , 73500, 0.729253 
C#, selectionsort_50000.sh, 50000, 13.199402 , 5.597046 , 0.010376 , 0.000000 , 65736, 0.664021 
C#, selectionsort_100000.sh, 100000, 14.355835 , 6.075073 , 0.014771 , 0.000000 , 73196, 0.722151 
Go, bubblesort_50000.sh, 50000, 3.749939 , 1.451111 , 0.013794 , 0.000000 , 55448, 0.196886 
Go, bubblesort_100000.sh, 100000, 4.618896 , 1.397766 , 0.009277 , 0.000000 , 56648, 0.27902 
Go, cyclesort_50000.sh, 50000, 3.295776 , 1.243652 , 0.010254 , 0.000000 , 56180, 0.175175 
Go, cyclesort_100000.sh, 100000, 3.938049 , 1.426575 , 0.008118 , 0.000000 , 56504, 0.215984 
Go, heapsort_50000.sh, 50000, 3.164612 , 1.237366 , 0.008911 , 0.000000 , 55336, 0.165946 
Go, heapsort_100000.sh, 100000, 3.769104 , 1.480042 , 0.009216 , 0.000000 , 58012, 0.196901 
Go, insertionsort_50000.sh, 50000, 3.583313 , 1.476257 , 0.008545 , 0.000000 , 55240, 0.180528 
Go, insertionsort_100000.sh, 100000, 4.105408 , 1.454163 , 0.013733 , 0.000000 , 56844, 0.228054 
Go, mergesort_50000.sh, 50000, 3.738159 , 1.348328 , 0.009460 , 0.000000 , 54736, 0.206163 
Go, mergesort_100000.sh, 100000, 3.848755 , 1.471497 , 0.010986 , 0.000000 , 57560, 0.203299 
Go, oddevensort_50000.sh, 50000, 3.420288 , 1.190491 , 0.012146 , 0.000000 , 56992, 0.192398 
Go, oddevensort_100000.sh, 100000, 3.152100 , 1.153320 , 0.008545 , 0.000000 , 57856, 0.171819 
Go, quicksort_50000.sh, 50000, 3.131531 , 1.217712 , 0.008423 , 0.000000 , 57360, 0.165441 
Go, quicksort_100000.sh, 100000, 4.244751 , 1.429810 , 0.011292 , 0.000000 , 55988, 0.241284 
Go, selectionsort_50000.sh, 50000, 3.645752 , 1.487366 , 0.009705 , 0.000000 , 56720, 0.186061 
Go, selectionsort_100000.sh, 100000, 4.444458 , 1.786011 , 0.007507 , 0.000000 , 55824, 0.230042 
Haskell, bubblesort_50000.sh, 50000, 559.317566 , 231.616577 , 0.227417 , 0.000000 , 1061148, 28.1166 
Haskell, bubblesort_100000.sh, 100000, 1124.460876 , 465.320618 , 0.457825 , 0.000000 , 1683660, 56.5177 
Haskell, cyclesort_50000.sh, 50000, 1102.846130 , 456.670227 , 0.432861 , 0.000000 , 1120064, 55.4381 
Haskell, cyclesort_100000.sh, 100000, 2261.337341 , 936.593323 , 0.823364 , 0.000000 , 1909904, 113.643 
Haskell, heapsort_50000.sh, 50000, 573.857483 , 237.948792 , 0.238342 , 0.000000 , 1005616, 28.8395 
Haskell, heapsort_100000.sh, 100000, 1135.453003 , 470.404114 , 0.415100 , 0.000000 , 1693640, 57.0645 
Haskell, insertionsort_50000.sh, 50000, 566.854675 , 234.669983 , 0.236145 , 0.000000 , 1138788, 28.4937 
Haskell, insertionsort_100000.sh, 100000, 1114.236511 , 461.022034 , 0.440918 , 0.000000 , 1882164, 56.0009 
Haskell, mergesort_50000.sh, 50000, 575.906006 , 238.756653 , 0.232788 , 0.000000 , 1057932, 28.9318 
