Algorithm,Language,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
insertionsort,Swift,50000,46.962939399999996,20.0506468,0.0248046,10.9496,2.358042
insertionsort,Swift,100000,185.7091674,79.373474,0.065271,11.7608,9.329908
mergesort,C,25000,0.1326416,0.0460082,0.0050414,3.7120000000000006,0.0068658
mergesort,C,50000,0.2291016,0.0849854,0.0055788,3.6480000000000006,0.0119576
mergesort,C,100000,0.2855838,0.0943116,0.006201,3.6864000000000003,0.015967000000000002
mergesort,C#,25000,0.6972412,0.2702268,0.0064086,24.04,0.036758799999999994
mergesort,C#,50000,0.8440915999999999,0.3174318,0.0064698,26.1488,0.045264
mergesort,C#,100000,1.106366,0.4853516,0.007428,26.170799999999996,0.0528107
mergesort,C++,25000,0.24748520000000002,0.095874,0.0057372,3.8975999999999997,0.0126616
mergesort,C++,50000,0.3406618,0.136328,0.0062376,4.103199999999999,0.0175598
mergesort,C++,100000,0.4068726,0.1619262,0.0064574,4.7936,0.020483400000000002
mergesort,Go,25000,0.1708496,0.0653686,0.005102799999999999,7.5840000000000005,0.0085338
mergesort,Go,50000,0.34335940000000004,0.12351079999999999,0.0061766,8.844,0.017799000000000002
mergesort,Go,100000,0.47694099999999995,0.1910034,0.006530800000000001,10.764,0.024475
mergesort,Haskell,25000,0.3912844,0.15574939999999998,0.0062132,10.470400000000001,0.0198486
mergesort,Haskell,50000,0.7100218,0.282495,0.0061524,14.144,0.035984
mergesort,Haskell,100000,1.4148558,0.5730104,0.008373799999999999,21.696,0.0716314
mergesort,Python,25000,2.8598022,1.1895144,0.0089844,32.7712,0.14427079999999998
mergesort,Python,50000,5.1170412,2.1561524000000003,0.0081542,51.556,0.2571676
mergesort,Python,100000,10.210132,4.3172483999999995,0.0131104,93.72,0.513016
mergesort,Rust,25000,0.151013,0.0515382,0.0053224,3.6072,0.0081052
mergesort,Rust,50000,0.3237916,0.11547860000000001,0.0060422,3.5584000000000002,0.016727
mergesort,Rust,100000,0.4850464,0.1833496,0.0080934,3.9200000000000004,0.025352600000000003
mergesort,Swift,25000,0.398474,0.1516478,0.006518399999999999,11.032,0.020621800000000003
mergesort,Swift,50000,0.6645266,0.26790780000000003,0.0064210000000000005,11.856,0.0347958
mergesort,Swift,100000,1.3331788,0.5534912000000001,0.0068725999999999995,13.203999999999999,0.06649160000000001
oddevensort,C,25000,12.6765378,5.3830324,0.0133302,3.5840000000000005,0.6378514
oddevensort,C,50000,52.903283599999995,22.3927978,0.0275148,3.6096000000000004,2.674202
oddevensort,C,100000,216.76569840000002,92.3514404,0.08332500000000001,3.6480000000000006,10.91136
oddevensort,C#,25000,28.009960799999998,11.863916,0.0227418,21.436799999999998,1.413774
oddevensort,C#,50000,112.4875978,47.913379,0.05,21.7384,5.65928
oddevensort,C#,100000,457.206592,220.92160640000003,0.1640502,21.6012,20.71806
oddevensort,C++,25000,11.795874000000001,5.0132326,0.0100704,3.8576,0.5940534
oddevensort,C++,50000,52.44884019999999,22.312304599999997,0.025646999999999996,4.062399999999999,2.642238
oddevensort,C++,100000,219.0446168,93.32514640000001,0.07863780000000001,4.4384,11.02806
oddevensort,Go,25000,10.9806396,4.6625364000000005,0.011120399999999999,3.5840000000000005,0.5528031999999999
oddevensort,Go,50000,51.303576799999995,21.8644654,0.0215818,3.6608000000000005,2.580518
oddevensort,Go,100000,0.1383422,0.05489499999999999,0.0042236,5.8712,0.0068296
oddevensort,Haskell,25000,0.3473388,0.11807859999999999,0.0063717999999999995,10.504000000000001,0.0189286
oddevensort,Haskell,50000,0.7132324,0.2809206,0.006457399999999999,14.5408,0.036724599999999996
oddevensort,Haskell,100000,1.3249146,0.5351928,0.0062864,20.992,0.06782
oddevensort,Python,25000,605.8173584,258.6999634,0.20802,32.788,30.431720000000002
oddevensort,Python,50000,2512.9738524,1071.2901,0.807019,51.56,126.247
oddevensort,Python,100000,10712.9938844,4547.2917236,3.4288942,93.7016,538.2654
oddevensort,Rust,25000,15.545641799999999,6.5883424,0.0158326,3.7120000000000006,0.7841604
oddevensort,Rust,50000,65.5332766,27.8944458,0.0285766,3.7120000000000006,3.300484
oddevensort,Rust,100000,285.1803346,121.57264420000001,0.0971314,3.4560000000000004,14.3494
oddevensort,Swift,25000,27.9391724,11.9042238,0.0152344,10.744,1.406396
oddevensort,Swift,50000,0.1660768,0.0627688,0.0051757999999999995,10.204,0.0083934
oddevensort,Swift,100000,454.18946539999996,193.9437012,0.1514038,11.796,22.83728
quicksort,C,25000,0.12235100000000002,0.0427734,0.00448,3.6608000000000005,0.0062524
quicksort,C,50000,0.1482788,0.0518798,0.0052614,3.6736000000000004,0.0081674
quicksort,C,100000,0.28183600000000003,0.1043458,0.005554,3.7079999999999997,0.0146114
quicksort,C#,25000,0.714917,0.2459962,0.006592000000000001,23.3936,0.040194400000000005
quicksort,C#,50000,0.7809694,0.29082020000000003,0.0083984,20.791999999999998,0.041803400000000004
quicksort,C#,100000,0.9023436,0.3831115,0.006311,22.9336,0.0445219
quicksort,C++,25000,0.18676759999999998,0.065039,0.005237,3.8928,0.0096012
quicksort,C++,50000,0.17106939999999998,0.060852,0.0054444,4.0904,0.0093762
quicksort,C++,100000,0.3577514,0.1312746,0.0063354,4.512,0.018473
quicksort,Go,25000,0.128467,0.047936999999999994,0.0044554,3.5072,0.0067752
quicksort,Go,50000,0.22896719999999998,0.08756119999999999,0.0057736,3.5328000000000004,0.011499800000000001
quicksort,Go,100000,0.2786132,0.094104,0.0062254,5.868,0.015173
quicksort,Haskell,25000,0.168872,0.0658204,0.0050418,5.5935999999999995,0.0089572
quicksort,Haskell,50000,0.1707764,0.04873039999999999,0.005115,7.8464,0.009983200000000001
quicksort,Haskell,100000,0.2844604,0.113025,0.0057372,13.4648,0.014080400000000002
quicksort,Python,25000,2.4445924000000003,1.0134276,0.009118600000000001,32.60080000000001,0.12324299999999999
quicksort,Python,50000,0.5191526,0.2037108,0.0104004,9.432,0.0258866
quicksort,Python,100000,8.0162354,3.3725584,0.010559,93.704,0.4035988
quicksort,Rust,25000,0.1324584,0.0461916,0.0041382,3.6096000000000004,0.0067372000000000005
quicksort,Rust,50000,0.1748658,0.0655396,0.0054199999999999995,3.5456000000000003,0.0089788
quicksort,Rust,100000,0.29376220000000003,0.1082152,0.006384200000000001,3.6096000000000004,0.014727399999999998
quicksort,Swift,25000,0.6034423999999999,0.23947759999999998,0.006665,11.7264,0.030633
quicksort,Swift,50000,0.9337034,0.3856568,0.0068722,12.58,0.0466856
quicksort,Swift,100000,1.7025510000000001,0.716089,0.0065547999999999995,17.233600000000003,0.08558600000000001
selectionsort,C,25000,4.589905,1.9365112,0.0083252,3.5840000000000005,0.2315918
selectionsort,C,50000,17.7555542,7.550671199999999,0.018005399999999998,3.7120000000000006,0.8935791999999999
selectionsort,C,100000,70.8467896,30.168627800000003,0.035815200000000005,3.6608000000000005,3.566894
selectionsort,C#,25000,10.902172799999999,4.6149658,0.012792799999999998,19.2088,0.5498908
selectionsort,C#,50000,41.6414428,17.747937200000003,0.024865599999999998,22.12,2.0939819999999996
selectionsort,C#,100000,167.003656,80.6557251,0.061248800000000006,23.262,7.572471
selectionsort,C++,25000,4.5368288,1.908508,0.009021,3.84,0.22869099999999998
selectionsort,C++,50000,17.7284668,7.5401124,0.0140504,4.1584,0.8924166
selectionsort,C++,100000,70.6174806,30.0897096,0.0311766,4.441599999999999,3.55362
selectionsort,Go,25000,8.9178466,3.7679932000000003,0.0113648,3.6096000000000004,0.45000819999999997
selectionsort,Go,50000,35.1722776,14.9465088,0.025756800000000003,3.5584000000000002,1.771124
selectionsort,Go,100000,140.8108398,59.6036742,0.0610354,5.4384,7.119517999999999
selectionsort,Haskell,25000,0.13148200000000002,0.048584,0.0042966,3.6096000000000004,0.006482
selectionsort,Haskell,50000,0.1090942,0.0267822,0.005078399999999999,3.6736000000000004,0.0064068
selectionsort,Haskell,100000,0.1228394,0.047339,0.0050904,3.7120000000000006,0.006371400000000001
selectionsort,Python,25000,268.7718018,114.73271480000001,0.0982908,32.599199999999996,13.5042
selectionsort,Python,50000,1099.0131225999999,468.57862539999996,0.3700806,51.556,55.21114
selectionsort,Python,100000,4750.65039075,2018.2447662499999,1.5036924999999999,93.71199999999999,238.69025
selectionsort,Rust,25000,7.3494996,3.1129027999999996,0.0086304,3.7120000000000006,0.3701662
selectionsort,Rust,50000,26.110132,11.103833,0.0156128,3.5816000000000003,1.31461
selectionsort,Rust,100000,108.11875,46.0806032,0.050866600000000005,3.6736000000000004,5.437772
selectionsort,Swift,25000,6.8645874000000005,2.9015868,0.012451,10.572,0.3456398
selectionsort,Swift,50000,26.8837648,11.4396606,0.0220216,10.9104,1.352752
selectionsort,Swift,100000,107.9084838,46.041199,0.0458986,11.768,5.4284099999999995
