Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
C++,quicksort,25000,11.330750,4.745605,0.025513,84.9,0.570622
C++,selectionsort,25000,10.656128,4.470276,0.015259,85.068,0.538334
C#,bubblesort,25000,12.275452,5.146179,0.014771,65.288,0.621472
C#,cyclesort,25000,12.468384,5.254272,0.024414,65.376,0.628036
C#,heapsort,25000,12.454468,5.270081,0.011597,65.388,0.627987
C#,insertionsort,25000,12.251648,5.203430,0.011719,63.396,0.616276
C#,mergesort,25000,12.702209,5.364075,0.024109,62.992,0.638757
C#,oddevensort,25000,12.171082,5.154663,0.008728,63.424,0.614387
C#,quicksort,25000,12.842834,5.411072,0.022888,69.484,0.645163
C#,selectionsort,25000,12.115051,5.072693,0.014771,67.372,0.613517
Go,bubblesort,25000,3.558533,1.472717,0.009583,56.6,0.178458
Go,cyclesort,25000,3.598145,1.359863,0.009460,55.7,0.192931
Go,heapsort,25000,2.964294,1.086121,0.008118,56.756,0.161897
Go,insertionsort,25000,3.419678,1.372925,0.008240,56.904,0.176082
Go,mergesort,25000,3.561890,1.417664,0.013000,56.348,0.184044
Go,oddevensort,25000,3.186584,1.241699,0.014832,57.2,0.167235
Go,quicksort,25000,3.232056,1.278992,0.008240,56.752,0.168087
Go,selectionsort,25000,3.521484,1.417664,0.009033,56.852,0.180834
Haskell,bubblesort,25000,281.440247,116.616211,0.127808,632.816,14.1546
Haskell,cyclesort,25000,536.780029,222.375122,0.221680,717.056,26.9802
Haskell,heapsort,25000,280.994690,116.443359,0.128906,633.924,14.1254
Haskell,insertionsort,25000,282.804749,117.097839,0.152527,667.756,14.2167
Haskell,mergesort,25000,287.850464,119.322754,0.139160,599.332,14.4644
Haskell,oddevensort,25000,267.035645,110.595337,0.139587,671.936,13.4266
Haskell,quicksort,25000,282.607666,117.161743,0.134216,593.924,14.2074
Haskell,selectionsort,25000,299.360657,123.890686,0.137390,668.332,15.0546
Rust,bubblesort,25000,212.697327,89.252747,0.099121,1083.488,10.6952
