Algorithm,Language,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
cyclesort,Go,50000,3.380940666666667,1.2934468333333333,0.010060833333333333,56.668,0.17927216666666668
cyclesort,Go,100000,3.6709593333333337,1.404378333333333,0.008687333333333333,56.66533333333333,0.194729
cyclesort,Haskell,25000,542.5641276666666,223.66499833333333,0.19897449999999997,684.8513333333334,27.273583333333335
cyclesort,Haskell,50000,1096.9115191666667,454.15990200000005,0.41713449999999996,1178.256,55.13228333333333
cyclesort,Haskell,100000,2265.1830036666665,937.6707356666667,0.7970173333333334,2168.6893333333333,113.85566666666666
cyclesort,Rust,25000,215.96414166666668,90.19232166666667,0.109558,1082.8233333333335,10.85525
cyclesort,Rust,50000,445.67975866666666,187.01671366666665,0.19245400000000001,2176.878666666667,22.389316666666662
cyclesort,Rust,100000,902.5526526666666,378.3484496666667,0.37957766666666665,4318.5706666666665,45.339
cyclesort,Swift,25000,331.753886,140.40746049999998,0.13574233333333333,143.42933333333335,16.682333333333336
cyclesort,Swift,50000,1154.7295531666666,491.0015766666666,0.3974505,229.72266666666667,58.02363333333333
cyclesort,Swift,100000,292.6802773333333,121.27026366666666,0.12719733333333336,377.9026666666667,14.762166666666666
heapsort,C,25000,2.3480633333333336,0.9434710000000001,0.024241333333333333,37.398666666666664,0.11968266666666667
heapsort,C,50000,3.5597228333333333,1.4382018333333333,0.01580816666666667,42.73133333333333,0.1831455
heapsort,C,100000,5.0691679999999995,2.12030025,0.01635725,51.934,0.2561295
heapsort,C#,25000,12.362345166666666,5.171224166666667,0.02300016666666667,64.394,0.6239843333333334
heapsort,C#,50000,13.188466499999999,5.549225,0.020975833333333332,68.88466666666666,0.6655768333333333
heapsort,C#,100000,14.616353333333334,6.166564999999999,0.016662666666666666,72.74933333333333,0.7369906666666667
heapsort,C++,25000,11.296529,4.6285300000000005,0.04197183333333334,85.548,0.5763268333333333
heapsort,C++,50000,12.271240333333333,5.1488955,0.02372233333333333,98.51133333333333,0.619088
heapsort,C++,100000,14.9073335,6.23991375,0.02459725,114.64,0.75348625
heapsort,Go,25000,3.620737833333333,1.3661196666666668,0.0219625,56.538666666666664,0.19171083333333336
heapsort,Go,50000,3.4383951666666666,1.315613,0.010070833333333333,56.264,0.18266333333333332
heapsort,Go,100000,3.5836996666666665,1.3886516666666668,0.010091000000000001,57.208,0.188993
heapsort,Haskell,25000,286.64772550000004,118.17775466666666,0.14076750000000002,633.6753333333334,14.411866666666667
heapsort,Haskell,50000,569.7726441666667,236.076233,0.24199416666666665,1037.8413333333333,28.638283333333334
heapsort,Haskell,100000,1137.1752523333332,471.0127156666667,0.42419433333333334,1691.4026666666668,57.159933333333335
heapsort,Rust,25000,214.27284733333332,89.484324,0.106435,1078.6873333333333,10.770583333333335
heapsort,Rust,50000,439.77111799999994,184.60852066666666,0.1886901666666667,2169.9773333333333,22.092366666666667
heapsort,Rust,100000,871.7407836666666,365.4790853333334,0.368693,4313.326666666667,43.79316666666667
heapsort,Swift,25000,346.1971943333333,146.52702833333333,0.1450705,147.36933333333334,17.403633333333335
heapsort,Swift,50000,1219.3182168333333,518.3749491666666,0.4132995,234.182,61.27316666666667
heapsort,Swift,100000,323.55208366666665,134.22363299999998,0.14697266666666667,381.6306666666667,16.304133333333336
insertionsort,C,25000,2.291626,0.8741658333333334,0.034708666666666665,37.449333333333335,0.11912
insertionsort,C,50000,2.7344768333333334,1.1263733333333332,0.0144245,42.11266666666667,0.13873633333333332
insertionsort,C,100000,4.80278025,2.0057832500000004,0.017273,51.251999999999995,0.24246499999999999
insertionsort,C#,25000,12.592793833333333,5.254964166666666,0.0408325,64.68733333333334,0.6349918333333333
insertionsort,C#,50000,13.1275125,5.552266499999999,0.014485833333333335,68.39533333333334,0.6602303333333334
insertionsort,C#,100000,14.580546,6.147257666666666,0.01847333333333333,72.756,0.7342426666666667
insertionsort,C++,25000,10.841461166666667,4.496348,0.04908216666666667,85.01666666666667,0.5470438333333333
insertionsort,C++,50000,12.037902666666666,5.06072,0.021708333333333333,98.31066666666668,0.6064151666666667
insertionsort,C++,100000,14.5065765,6.098587,0.02110275,114.864,0.73111725
insertionsort,Go,25000,3.458425,1.3054605,0.03193166666666667,56.23333333333334,0.1825011666666667
insertionsort,Go,50000,3.5693563333333334,1.4097086666666667,0.0083315,55.844,0.18617883333333332
insertionsort,Go,100000,3.705932666666667,1.393575,0.010681333333333334,57.196,0.198283
insertionsort,Haskell,25000,282.17167166666667,116.24219783333332,0.163035,657.3226666666667,14.18445
