Algorithm,Language,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
cyclesort,C++,50000,12.774882166666666,6.783019833333333,0.024485000000000003,98.682,0.5196471666666667
cyclesort,C++,100000,15.25260925,8.087051500000001,0.01997375,114.221,0.6225305
cyclesort,Go,25000,3.4515993333333337,1.678579,0.016153833333333333,55.11066666666667,0.15004966666666666
cyclesort,Go,50000,3.379353833333333,1.6014404999999998,0.011728833333333334,56.716,0.15226116666666667
cyclesort,Go,100000,3.552755,1.5521853333333333,0.013488666666666668,57.422666666666665,0.17210433333333333
cyclesort,Haskell,25000,581.5743408333334,305.28006999999997,0.20624816666666668,709.0013333333333,23.5455
cyclesort,Haskell,50000,1175.8323058333333,619.3078815,0.39041149999999997,1073.2,47.583949999999994
cyclesort,Haskell,100000,2422.179342,1276.074198,0.816569,2185.884,97.96386666666666
cyclesort,Rust,25000,230.52920533333335,122.39889533333333,0.09955866666666667,1081.7733333333333,9.318015
cyclesort,Rust,50000,481.5330505,256.28961183333337,0.193268,2171.1659999999997,19.471033333333335
cyclesort,Rust,100000,943.9168496666667,501.5799763333334,0.35166433333333336,4317.8786666666665,38.18856666666667
cyclesort,Swift,25000,344.89847833333334,183.72821016666668,0.10859183333333333,143.49933333333334,14.015316666666665
cyclesort,Swift,50000,1189.8201703333332,637.658966,0.39377833333333334,219.9813333333333,48.22613333333334
cyclesort,Swift,100000,317.4507853333334,162.297933,0.13749166666666668,366.6586666666667,13.337699999999998
heapsort,C,25000,2.323099666666667,1.173004,0.02312233333333333,37.452666666666666,0.09658866666666667
heapsort,C,50000,3.523152666666667,1.8371378333333332,0.014831666666666667,42.862,0.14517683333333334
heapsort,C,100000,5.23162825,2.7276914999999997,0.01377875,51.882999999999996,0.21703175
heapsort,C#,25000,12.852793666666665,6.844859,0.022776333333333332,65.71933333333334,0.5215686666666667
heapsort,C#,50000,13.680175833333331,7.313517333333333,0.016927,66.834,0.5540405
heapsort,C#,100000,14.913025,7.9701943333333345,0.021036666666666665,73.53733333333332,0.604694
heapsort,C++,25000,11.570231166666666,6.1054585,0.028361,85.42266666666667,0.47111533333333333
heapsort,C++,50000,12.576314166666668,6.670094833333334,0.017242333333333332,98.92133333333334,0.5138401666666667
heapsort,C++,100000,15.3430785,8.16920475,0.02127075,114.527,0.62361325
heapsort,Go,25000,3.5985108333333335,1.6877035000000002,0.017557666666666666,56.132666666666665,0.16188683333333334
heapsort,Go,50000,3.6815591666666667,1.7959493333333334,0.010793333333333334,56.326666666666675,0.16081183333333335
heapsort,Go,100000,3.2542519999999997,1.5889283333333333,0.00885,56.61600000000001,0.14260566666666666
heapsort,Haskell,25000,306.60764566666666,161.00682566666669,0.13266,636.9573333333333,12.417666666666667
heapsort,Haskell,50000,610.4208275,321.81496166666665,0.22819016666666667,1036.352,24.687233333333335
heapsort,Haskell,100000,1204.739624,634.4886270000001,0.43570933333333334,1740.3506666666665,48.75293333333334
heapsort,Rust,25000,226.74862666666664,120.47268683333334,0.10680133333333335,1081.0573333333334,9.1596
heapsort,Rust,50000,471.17775466666666,250.73414066666666,0.18686933333333333,2169.621333333333,19.057416666666665
heapsort,Rust,100000,938.557414,498.82619233333327,0.351318,4315.606666666667,37.99256666666667
heapsort,Swift,25000,368.90343233333334,196.47126233333333,0.1337585,147.34733333333335,15.010466666666666
heapsort,Swift,50000,1247.4743245,667.9992776666667,0.41419466666666666,223.376,50.59988333333334
heapsort,Swift,100000,351.5727133333333,180.06372066666668,0.148539,370.3053333333333,14.745633333333332
insertionsort,C,25000,2.3890176666666667,1.1293641666666667,0.040252500000000004,37.394666666666666,0.10529433333333334
insertionsort,C,50000,3.0842385,1.6005044999999998,0.014780666666666666,42.16466666666667,0.12830316666666666
insertionsort,C,100000,5.06393425,2.6363220000000003,0.018051,51.156,0.2098365
insertionsort,C#,25000,12.788390999999999,6.812387999999999,0.021403333333333333,66.068,0.5193921666666667
insertionsort,C#,50000,13.616546833333333,7.264129666666666,0.018290333333333336,67.08333333333333,0.552141
insertionsort,C#,100000,14.945882,8.008789,0.008687666666666666,71.37333333333333,0.6050833333333333
